cancel  v.删去,取消
needy  adj.贫穷的
perturb  vt.使不安,烦扰
specious  adj.似是而非的,华而不实的
caricature  n.讽刺画,滑稽模仿
voracious  adj.狼吞虎咽的,贪婪的
muzzy  adj.头脑糊涂的
topography  n.地形学
unpredictable  adj.无法预言的,无法预测的
snarl  n./v.纠缠,混乱
inexplicable  adj.无法解释的
blight  n.植物枯萎病;v.使...枯萎
dike  n.堤
ex  prep.在交货
piece  n.片
fob  (缩)离岸价
computerize  v.使计算机化
popularize  v.普及，宣传
foe  n.敌人，宿敌
fog  n.雾；烟雾
exchangeable  adj.可交换的,可更换的
foible  n.小缺点,小毛病
fop  n.(喜好精致服装的)花花公子
for  prep.为
loneliness  n.孤独，寂寞
twilight  n.曙光,黎明,黄昏
fox  n.狐狸
content  n./a./vt.满意(的),使满意(足)n.内容,目录
enticing  adj.有吸引力的,迷人的
ploy  n.花招,策略
dine  v.吃饭,进餐
alert  a.机警的，警觉的；机灵的vt.使…警觉
plot  n.小块土地;阴谋;情节;vt.绘制,标绘;密谋,策划
terminology  n.术语学，术语
obsolescent  adj.即将过时的
prosperity  n.繁荣，兴旺
contend  v.与对手竞争;据理力争
covert  adj.秘密的,隐密的
digital  a.数字的,计数的
thwart  v.阻挠,使...受挫
stevedore  n.码头工人
plod  v.重步走；吃力地干
splice  v.接合,衔接
go  v.进行
deposition  n.免职，罢免；口供
ecologist  n.生态学家，生态学者
specification  n.载明,详述;规格,清单,说明书
rhythm  n.韵律,格律,有规律的反复(循环),周期性
conserve  v.保全,保存
crestfallen  adj.挫败的,失望的
tease  vt.取笑,嘲笑;戏弄
dime  n.(美元)一角
fork  n.叉，耙；叉形物；餐叉
form  v.建立
mnemonics  n.记忆法,记忆规则
cylinder  n.圆柱
fort  n.堡垒,要塞
renew  v.(使)更新，恢复，重新开始，继续
he  pron.他
feather  n.羽毛
hi  int.嗨！喂！
welfare  n.幸福,福利,社会保障
penultimate  adj.倒数第二的
abhor  v.憎恨,嫌恶
flourish  v./n.繁荣;挥舞;茂盛
foul  a.恶臭的;邪恶的;暴风雨的;n.(体育)犯规;v.弄脏,玷污;(使)缠结,犯规
intricate  adj.复杂难懂的
else  a.其他的
four  num.四
context  n.背景,环境;上下文
easily  ad.容易地；舒适的
if  conj.如果
zinc  n.锌
likely  a.很可能的，有希望的ad.大概，多半
in  prep.在…里
dejected  adj.沮丧的,失望的
lingual  adj.舌的；语言的
subsistence  n.生存，生计；存在
audacity  n.大胆,鲁莽
it  pron.它
doorway  n.门口
fry  v.油煎,油炒
additive  adj.附加的n.添加剂
certification  n.证明
distraction  n.分心
lively  a.活泼的，活跃的；栩栩如生的，真实的
malleable  adj.可塑的；易改变的
supplement  n.补遗；增刊；附录v.增刊，补充
annoying  adj.使人颇为生气的
fetus  n.胎儿
fretwork  n.格子细工(在木头上雕出各种图案,格子的工
affinity  n.密切关系；吸引力
majestic  adj.雄伟的,庄严的
occurrence  n.发生，出现；事件，事故，发生的事情
disposal  n.处理，处置；布置，安排
goggle  n.护目镜;v.睁眼看
settlement  n.解决，决定，调停；居留区，住宅区
recede  vi.后退;向后倾斜
dire  adj.可怕的
customary  a.习惯的，惯例的
profligacy  n.放荡,肆意挥霍
ability  n.能力，才干
explicable  adj.可解释的
delight  n.快乐
proficient  a.熟练的，精通的
mentality  n.智力,心理状态
suggestion  n.建议，意见；细微的迹象；暗示，联想
sullen  a.绷着脸不高兴的
conglomerate  v.集聚成团
lantern  n.灯，灯笼
fowl  n.家禽；禽肉
impromptu  adj.即席的,即兴的
disposition  n.排列，部署；性格倾向；倾向，意向
dregs  n.糟粕,沉淀废物
wooden  a.木制的；呆笨的
stabilize  v.稳定,稳固
le  adv.引导，领先，率领
splint  n.(固定断骨的)夹板,托板
fun  n.有趣的人；玩笑
dilatory  adj.慢吞吞的,磨蹭的
patently  adv.显然地,明显地
malodorous  adj.有臭味的
fur  n.毛，毛皮
pants  n.裤子
certify  v.(发给证书)证明;证实
placid  adj.安静的,平和的
pursuant  a.追踪的,依照的
swagger  v.大摇大摆地走
second  num.第二a.第二的n.秒
laudable  adj.值得称赞的
inelastic  adj.无伸缩性的
vengeful  a.报复的，复仇心理的
infidel  n.不信教者；异教徒
homogenize  v.使均匀,使一致
sufficient  a.充分的
me  pron.我
glaze  v.装玻璃于;上釉彩;n.釉
communication  n.通讯,交往,交流,传达的消息,交通
fasten  v.扎牢，使固定
incertitude  n.疑惑,不确定
contest  n.争夺,竞争;比赛;v.争论,争议;斗争
tinge  vt.染色,使带气息
foothold  n.立足点,根据地
author  n.作者，作家，著作人；创始人，发起人
dirt  n.污物，污垢
gorgon  n.丑陋的女人；蛇发女怪
formality  n.礼节，正式
greenhouse  n.温室
my  pron.我的
plus  prep./n.加,加号a.正的
entry  n.进入,入口;条目,词条
license  n.许可证，执照v.准许，认可
SantaClaus  n.圣诞老人
dream  n.梦
dish  n.碟子，盘子，菜肴
fiscal  adj.国库的,财政的
perimeter  n.周边,周长,周界
suggestive  adj.暗示的
noble  a.高尚的；贵族的，高贵的n.贵族
disc  n.圆盘,圆面,磁盘,椎间盘
plug  n./v.塞子,栓,插头,通电
no  n.否定
renege  v.背信,违约
student  n.学生
inexpensive  a.花费不多的，廉价的
counterproductive  adj.事与愿违的
ideology  n.思想体系，思想意识，意识形态
superfluity  n.多余的量
of  prep.…的
oh  int.嗬，哦，唉呀
candidacy  n.候选人的资格
somehow  ad.不知何故
dive  v./n.潜水，跳水，俯冲
invertebrate  adj.n.无脊椎的(动物)
on  prep.在…之上
diva  n.歌剧中的女主角
or  conj.或者
inimitable  adj.无法仿效的,不可比拟的
petroglyph  n.岩石雕刻
ox  n.牛，公牛
intelligent  a.聪明的，明智的，理智的
walnut  n.胡桃，核桃树
obsequies  n.葬礼
diagonal  adj.对角的;n.对角线
infringement  n.侵权
transmute  v.变化,变作
increasingly  ad.不断增加地，日益
subversive  a.颠覆性的，破坏性的
nation  n.国家；民族
readily  ad.乐意地,欣然地;容易地
rocket  n.火箭
registered  adj.登记的，注册的
convenience  n.便利;便利的设施
discipline  n./vt.训练,纪律;戒律,惩罚;学科
revulsion  n.厌恶,憎恶;剧烈反应
emission  n.散发；传播；发出物
freeze  vt.结冰；冷冻
extremely  ad.极端，极其，非常
industriousness  n.勤勉
cuticle  n.表皮
check-up  n.核对，检查
ringlet  n.卷发
January  n.一月
recent  a.新近的，近来的
choke  v.闷塞,压抑,闷死
insanity  n.疯狂；愚昧
consciousness  n.意识，觉悟；知觉
currish  adj.下贱的,杂种的
allowance  n.津贴
wheedle  v.(用花言巧语)哄骗
adopt  vt.收养;采用
attorney  n.律师
chauvinism  n.沙文主义,盲目爱国主义
pastiche  n.混合拼凑的作品
oppose  vt.反对;反抗
bridge  n.桥
evaporation  n.蒸发，升华
chauvinist  n.盲目爱国主义者
belly  n.腹部,腹腔
serenity  n.安详,宁静,平静,沉着
confection  n.甜食,糖果
ignominy  n.羞耻,屈辱
exporter  n.出口商
quaff  v.畅饮
defunct  adj.死亡的
chromatic  adj.彩色的,五彩的
adore  vt.崇拜;非常喜爱
lecherous  adj.好色的
lecture  n.演讲
magnate  n.财主,巨头
so  ad.因此
calendar  n.历书,日历,历法
intern  v.拘禁,软禁;n.实习生
decision  n.决心
abominable  adj.可恶的；令人憎恶的
mogul  n.显要人物,权势之人
adorn  v.装饰，佩带
monster  n.畸形的动植物,怪物;恶人
cement  n.水泥,结合剂vt.黏结,胶合
scourge  n.鞭笞；磨难;v.鞭笞,磨难
consequent  adj.跟随的;事物接连发生的
to  prep.向；往
censorship  n.审查
pittance  n.微薄的薪俸,少量的收入
commercial  a.贸易的,商业的n.电视电台广告
qualm  n.疑惧；紧张不安
relegate  v.降级,贬谪
ambiguity  n.模棱两可;多义词句
military  a.军事的
up  ad.&prep.向上
us  pron.我们
forgo  v.放弃,抛弃
purchaser  n.买主
plasticity  n.可塑性
anarchy  n.无政府；政治上的混乱
recluse  n.隐士;adj.隐居的
clique  n.朋党派系,小集团
recess  n.壁凹(墙上装的架子、柜子等凹处)；休假
failure  n.失败者
forge  n.锻工车间,铁匠店;vt.锻造,经锻炼而形成;伪造
valiant  adj.勇敢的,英勇的
bolster  n.枕垫;v.支持,鼓励
preview  v./n.预演,预展
behindhand  adj.落后，事后
breakthrough  n.军事突破;重大发明(发现)
snack  n.小吃,快餐
smirch  v.玷污;n.污点
apron  n.围裙
gruff  adj.(指人,声音)粗野的
perpetuate  v.使永存,使永记不忘
we  pron．我们
willingly  adv.乐意地，自愿地
quail  v.畏惧,颤抖
osmosis  n.渗透；潜移默化
cringe  v.畏缩；谄媚
catapult  n.弹弓;弹射器
gap  n.缺口；差距；空白；缺乏
destitute  adj.贫乏的；穷困的
gas  n.气体；煤气；汽油；毒气vt.毒(死)；加油
histocompatibility  n.[生]组织适合性,组织相容性
disposed  adj.有倾向的
emphasize  vt.强调,加强…的语气
gay  a.快乐的，愉快的，色彩鲜艳的n.同性恋
shriek  vi.尖声喊叫n.尖叫声
watery  a.水的；湿的；乏味的
psalm  n.赞美诗,圣诗
airmail  n.航空邮件
scads  n.大量,巨额
truancy  n.逃学,旷课
previous  a.先前的
effeminate  adj.缺乏勇气的,柔弱的
teach  v.教授
reading  n.读书，读物，(仪表等的)读数，阅读
belie  v.掩饰；证明为假
daunt  v.使胆怯,使畏缩
promiscuous  adj.滥交的；杂乱的
effervesce  v.冒泡；热情洋溢
choir  n.(教堂的)歌唱队
subsidize  v.津贴,资助
compensation  n.补偿(或赔偿)的款物；补偿，赔偿
bankrupt  adj.破产的,彻底失败的;彻底缺乏的n.破产者vt.使破产,使枯竭
antenna  n.触角,天线
electrify  v.充电，电气化
seminar  n.(大学的)研究班，研讨会
exhibitionist  n.喜欢出风头的人
exhibitionism  n.风头主义
fruitful  a.多产的；果实累累的，富有成效的
respiration  n.呼吸
dragon  n.龙
FBI  国际刑警
type  n.型式，类型；印刷字体；活/铅字v.打字
foray  v./n.突袭,偷袭
scant  adj.不足的,缺乏的
harpsichord  n.键琴(钢琴前身)
immensity  n.巨大之物；无限
militant  adj.好战的,好暴力的
seminal  adj.有创意的
intricacy  n.错综，复杂，纷乱
phase  n.阶段，状态，时期；相，相位
veracity  n.真实性,诚实
bonded  adj.保税的
misfortune  n.不幸,灾祸
axial  a.轴的；轴向的
quiescent  adj.不动的,静止的
offence  n.得罪；错事
force  n.力量
belch  v./n.打嗝;(火山)喷出
calcification  n.钙化;不灵活的状态
breakage  n.裂口
centigrade  n./a.摄氏温度计(的)；百分度(的)
squelch  v.压制,镇压
suffuse  v.(色彩等)弥漫,染遍
caprice  n.突如其来的念头,任性
periodic  n.周期的；一定时期的
gem  n.宝石
tyre  n.轮胎
sedentary  adj.久坐的
star-crossed  adj.时运不济的
virulent  adj.剧毒的；恶毒的
creamy  adj.奶油的，奶黄色的
sublimate  v.(使)升华,净化
sabotage  n.阴谋破坏,颠覆活动
get  v.获得
barber  n.理发员
power  n.力，精力；功率，电力；(数学)幂；权力，势力
enrapture  v.使狂喜,使高兴
yielding  adj.弯曲自如的;柔顺的
industrious  a.勤劳的，勤奋的
suspect  vt.疑有,觉得,猜想;觉得可疑;n.嫌疑犯,可疑分子;a.可疑的
abide  vi.(by)遵守，坚持；(abode)持续，住，逗留vt.容忍，忍受；等候
transformation  n.变化；改造；转变
typo  n.排印错误
massive  a.大而重的;大量的,大规模的
nucleate  v.使成核；adj.有核的
dress  n.女服
snail  n.蜗牛；行动缓慢的人
unyielding  adj.不屈的
panda  n.熊猫
hindrance  n.障碍，妨碍
hostel  n.廉价旅馆
harbor  n.海港；避难所v.隐匿，窝藏
dolorous  adj.悲哀的,忧愁的
ineffectiveness  n.低效率
disaffection  n.政治上不满,叛离
impetus  n.推动力;刺激
gosling  n.小鹅；年轻无知的人
create  vt.创造
criminal  a.犯罪的,刑事上的n.罪犯
curious  adj.好奇的，爱打听的
nuisance  n.麻烦事,讨厌的人
enamored  adj.珍爱的,喜爱的
prurient  adj.好色的,淫乱的
stranded  adj.搁浅的,进退两难的
earthquake  n.地震
debouch  v.流出,进入(开阔地区)
delude  v.欺骗,哄骗
insulation  n.隔离，绝缘
tyro  n.新手
demotic  adj.民众的,通俗的
crease  n.折缝,皱痕
reaffirm  v.重新肯定
quash  v.镇压;取消
conifer  n.针叶树
fitful  adj.一阵阵的,不安的
shrimp  n.(小)虾，河虾，褐虾
purpose  n.目的；打算
regret  n.&v.遗憾
snake  n.蛇
scale  n.鳞,鳞状物;尺度;等级;比例规模,相对大小;天平
starchy  adj.含淀粉的；刻板的
scald  v.烫,用沸水消毒;n.烫伤
jingoist  n.侵略主义者
manumit  v.解放(奴隶)
quart  n.夸脱
aggrandize  v.增大,扩张;吹捧
jingoism  n.沙文主义;侵略主义
subdivide  vt.把…再分
purport  n.意义,涵义
salient  adj.显著的,突出的
asynchronous  adj.不同时的
matriarchy  n.母权制；妇女统治
station  n.位置；站
continual  a.不断的，连续的，频繁的
scaly  adj.鱼鳞状的
shimmer  v.闪烁,微微发亮
shrill  a.尖声的vt.尖声地叫
factory  n.工厂
obstreperous  adj.吵闹的,难管束的
follow  v.跟随
intent  a.(目光)不能移的,集中的,专心的;坚决的n.意图,意向,目的
ascendancy  n.统治权,支配力量
mausoleum  n.陵墓
astute  adj.机敏的,精明的
humdrum  adj.单调的,乏味的
ounce  n.盎司，英两
emit  vt.散发,发射
intend  vt.想要；打算
flicker  vi./n.闪烁,摇曳,闪现
England  n.英格兰
resemble  vt.像;类似
stratagem  n.谋略,策略
collusion  n.勾结,串通
proffer  v./n.献出,赠送;提议,建议
virgin  n.处女a.处女的；纯洁的；原始的；未使用的
fluctuate  vi.(物价)涨落,起落,波动
squeamish  adj.易受惊的,易恶心的
rancorous  adj.怨恨的,憎恨的
reverie  n.幻想,梦幻曲
rehearsal  n.排练，排演，演习，预演，试演
full-bodied  adj.(味道等)浓郁而强烈的
redemptive  a.赎回的，救赎的，救世的
gladiator  n.角斗士,与野兽搏斗者
footlights  n.脚灯
devise  vt.设计,想出
flaunty  a.炫耀的，张扬的
marrow  n.骨髓；精华
papercutting  n.剪纸艺术
tadpole  n.蝌蚪
anybody  pron.任何人
misery  n.痛苦，悲惨，不幸
gormandize  v.拼命吃,贪吃
vertiginous  adj.令人眩晕的;易变化的
mastery  n.完全控制;熟练,精通
mundane  adj.现世的,世俗的
accordingto  依照
maelstrom  n.大漩涡；大混乱
prevarication  n.支吾,搪塞
audition  n.(演员等)试唱、试演
disencumber  v.排除(障碍);摆脱(负担)
stingy  adj.吝啬的,小气的
goldbrick  v.逃避责任,偷懒
freshman  n.新人，新生
subtle  a.微妙的,难于捉摸的;诡秘的,狡诈的;隐约的
consultant  n.会诊医师，顾问医生；顾问
moralistic  adj.道学气的
god  n.上帝
prehistoric  adj.史前的
prominence  n.显着，突出
illuminating  adj.启示性的,启发的
epitome  n.典型,梗概
correct  a.正确的
reader  n.读者；读本，读物；(英国的)大学讲师
panoramic  adj.全景的
carving  n.雕塑
imitate  vt.模仿,仿效;仿制,仿造
Jewish  a.犹太人的
bottle-neck  n.影响的环节
institution  n.公共机构；协会；学校；研究所；制度；惯例
ambition  n.雄心,抱负
torpid  adj.懒散的,死气沉沉的
enlarge  vt.扩大，放大，增大
dapper  adj.整洁漂亮的;动作敏捷的
avert  v.避免,防止；避开
callous  adj.结硬块的；无情的
murder  n.&vt.谋杀
defoliator  n.落叶剂
shipment  n.装船，装运；装载的货物，装货量
horsepower  n.马力
lace  n.鞋带,花边
proximate  adj.最接近的,直接的
tractable  adj.易于驾驭的,温顺的
alienation  n.异化
sleight  n.巧妙手法,巧计,灵巧
lack  n.&v.缺乏
toast  n.烤面包,烤火;vt.为…祝酒,敬酒
ingenuity  n.机灵；设计新颖
vowel  n.元音，元音字母
misjudge  v.错误判断
piquant  adj.辛辣的,开胃的
deleterious  adj.(对身心)有害的,有毒的
sociable  a.友好的,喜好交际的
regional  adj.地区的，区域的
gasoline  n.[美]汽油
paunchy  adj.大肚子的
pyromania  n.纵火狂
fluidity  n.流动性
forlorn  adj.孤独的；凄凉的
wrestle  vi.摔跤,角斗;斗争,努力
effluvium  n.气味,恶臭
lodging  n.寄宿,住所,(大学生的)校外宿舍
connoisseur  n.鉴赏家,行家
illumination  n.照明；古书上的图案、装饰
avulse  v.(由于意外的事故或通过外科手术)把(身体一部分)撕脱,抽出
inkling  n.暗示,迹象;略知,模糊概念
slanderous  adj.诽谤的
sprinkling  n.点滴,少数
evolution  n.演变,进展,进化
halfway  adv.半途
portrait  n.肖像，画像
rhythmic  adj.有节奏的
exhilaration  n.高兴,活跃
cowardly  adv.胆小地
namesake  n.同姓的人,同名的人,同名的事物
redemption  n.赎罪
pediatrics  n.小儿科
lady  n.女士
ethos  n.(个人,团体或民族)道德风貌,思潮信仰
wade  vt.趟(河)，跋涉
inject  vt.注射;注入
slipshod  adj.马虎的,草率的
injustice  n.不公正
favorable  a.赞许的，有利的，讨人喜欢的
hamper  vt.阻碍,妨碍,牵制
implant  v.注入；灌输
doting  adj.溺爱的
fluster  v.使困惑,慌乱
usher  n.领座员,招待员;v.引,领
anachronism  n.年代错误；落伍之物
decisive  a.决定性的
impuissance  n.无力,虚弱
daredevil  adj./n.胆大的(人),冒失的(人)
thesis  n.(学位)论文
barefaced  adj.厚颜无耻的,公然的
embankment  n.堤岸,路基
ordain  v.任命(神职)；颁发命令
sneer  vi.&n.冷笑；嘲笑
wage  n.周薪vt.从事(战争等)
fiber  n.纤维；构造；纤维制品
corporation  n.市镇自治机关；法人；公司，企业
understand  v.懂；了解
disrespect  n.不尊敬,无礼
heaven  n.天堂
suspended  adj.暂停的
waft  v.飘浮,飘荡
vigorously  adv.精力旺盛地
enrolment  n.登记,入学
unhappy  a.不幸福的，不快乐的
million  num.百万
analyze  vt.分析，分解
erotic  adj.性爱的,色情的(作品)
gum  n.树胶；口香糖
favorably  adv.有利地，顺利地
gun  n.枪
queer  a.奇怪的,不平常的;可疑的;眩晕的,不舒服的
hundred  num.百
wait  v.&n.等待
queen  n.女王
locomotion  n.运动,移动
booklet  n.小册子
magnificent  a.宏伟的,壮丽的
guy  n.家伙，人
conduit  n.渠道,引水管;水管
sibilant  adj.发出咝咝声的
native  n.本地人a.本国的
baseboard  n.脚板,护壁板
prolix  adj.罗嗦的,冗长的
wail  v.哀号,痛哭
debit  n.借方
handkerchief  n.手帕
accordingly  ad.相应地，照着办，按照；于是，因此
colorless  adj.无色的
lair  n.野兽的巢穴；躲藏处
inconsistent  adj.不一致的
pacific  a.和平的n.太平洋
pivotal  adj.枢轴的;中枢的;关键的
messenger  n.送信者，使者，传令兵
herpetologist  n.爬行动物学家
microorganism  n.微生物,细菌
disfigure  v.毁容
ingestion  n.摄取,吸收;容纳
chronicle  n.编年史
inferno  n.火海,地狱般的场所
tonight  n.今晚
franchise  n.特许权
replica  n.复制品
almost  ad.几乎
conduce  v.导致，有益于
steward  n.乘务员,服务员;组织者
carouse  n.狂饮寻乐
aeroplane  n.飞机
harmful  a.有害的
gleam  n./vi.微光,闪光,短暂而微弱的闪现
wake  v.唤醒
glean  v.拾落穗；收集(材料等)
expostulate  v.(对人或行为的)抗议,告诫
charity  n.赈济款、物,慈善团体,博爱
sneak  vi.偷偷地走，溜vt.偷偷地做(或拿、吃)
petrology  n.岩石学
misbehave  v.(使)行为无礼貌,(使)行为不端
dispense  v.分配，施予
liability  n.责任，义务；(pl.)债务
swan  n.天鹅vi.闲荡，游荡
restock  v.重新进货,再储存
sway  v./n.摇摆;统治,支配
tutor  n.导师；家庭教师v.辅导；当导师；当家庭教师
resurge  v.复活
reconcile  vt.使和解;使复交;调解,调停
annul  v.宣告无效；取消
gamely  adv.勇敢地,敢做敢为地
reciprocate  v.答谢,回报
inveterate  adj.积习已深的
stonewall  v.拖延议事,设置障碍
lake  n.湖
lank  adj.瘦削的；长而软的
irradiate  v.使明亮,生辉
abdomen  n.腹,下腹(胸部到腿部的部分)
panoply  n.全副穿戴；全副甲胄
accidentally  adv.偶尔，附带
indulge  v.放纵,沉迷于
twentieth  a.第二十的n.二十分之一
catastrophe  n.大灾难；(悲剧)结局
convey  vt.运送;转达,传达
extra  a./ad./n.额外的(地),非常,另外,额外的人
convex  adj.凸出的
land  n.陆地v.登岸
importation  n.进口
vestment  n.(作礼拜时教士的)法衣,官服
lane  n.小径,巷,行车道
contaminate  v.使...受污染
torpor  n.死气沉沉
imposing  adj.壮丽的,雄伟的
custodian  n.管理员,监护人
compensatory  a.补偿性的，报酬的
foremost  a./ad.最重要的(地),第一流的(地)
lamp  n.灯vt.照亮
encyclopedic  adj.广博的,知识渊博的
encyclopedia  n.百科全书
conduct  n.行为；管理
livelihood  n.生活
lamb  n.小羊,羊羔肉
wall  n.墙壁
walk  v.&n.走；散步
lame  a.跛的,瘸的;不能说服人的;vt.使跛
marred  a.受伤的；毁坏变形的
sacrilegious  a.亵渎神圣的
macerate  v.浸软；消瘦
decay  vi./n.腐烂;衰微
unidentified  adj.未被认出的
discussion  n.讨论，谈论；论述
acorn  n.橡实,橡树子/果
induct  v.使就职；使入伍
lessen  vt.减少，减轻；缩小
nonsensical  adj.荒唐的,无意义的
crook  n.钩子
championship  n.锦标(赛)
croon  v.低声歌唱
miscellany  n.混合物
drift  n.漂流,漂流物,大概意思,趋势;v.漂流,流浪
mankind  n.人类
want  v.想要
almond  n.杏树,杏仁
pigment  n.颜料,色素
gunpowder  n.黑色火药；有烟火药
uncover  v.揭开，揭露
accrete  v.添加生长；连生
induce  vt.
deserts  n.应得到的事物或赏罚
maleficent  adj.有害的,犯罪的
wane  v.减少,衰微
baffle  vt.阻碍,使困惑;n.挡板
circle  v.环绕
reminiscent  adj.使想起的,像...的
sophisticated  adj.[人]老于世故的,老练的,精通的;[物]精密的,尖端的,复杂的;高雅的,有教养的
equivocal  adj.意义含糊的,不直率的
ware  n.商品，货物；物品
aluminum  n.[美]铝
ward  n.病房；行政区；监护；被监护人vt.挡住
archaic  adj.古代的;已不用的
incompatible  a.不相容的
found  vt.建立；创立；创办；使有根据；铸造；熔制
infelicity  n.不幸;不恰当
lark  n.云雀，百灵鸟
convict  n.罪犯
cruelty  n.残酷；残酷行为
intimate  a.亲密的,密切的;个人的,私下的;vt.暗示,宣布,通知
disclose  vt.透露,泄露
entrust  v.委托
religion  n.宗教；信仰
diagram  n.图解
dilapidate  v.(使)荒废，(使)毁坏
perusal  n.细读
contrived  adj.不自然的,做作的
unicorn  n.(传说中的)独角兽
evoke  v.引起；唤起
preface  n./v.序言;为…加序
crudity  n.粗糙,生硬
goods  n.(pl.)货物，商品
voting  adj.有投票权的
accounting  n.会计学
secure  a.(from，against)安全的，放心的v.得到；防护
align  v.将某物排列在一条直线上;与某人结盟
lynch  v.私刑处死
wasp  n.黄蜂，蚂蜂
existential  a.有关存在的，存在主义的
nunnery  n.女修道院,尼姑庵
late  a.晚的ad.晚
school  n.学校
ham  n.火腿
impolitic  adj.不智的,失策的
locomotive  a.运动的,移动的n.火车头
infertile  adj.无法生殖的；不毛的
hat  n.帽子
jettison  n.投弃货物v.抛弃
brush  n.刷子
hay  n.干草
connubial  adj.婚姻的,夫妻的
unlock  vt.开…的锁；开启
last  a.最后的ad.最后n.最后
facsimile  n.复制本,摹本
wary  adj.谨慎的,小心翼翼的
wash  v.&n.洗涤
weight  n.重量
solicitor  n.律师
dissemble  v.隐藏、掩饰(感受、意图)
warn  vt.警告；注意
warm  a.温暖的
measure  n.尺寸；方法
outskirts  n.(尤指城市)郊区
lash  n.鞭子；鞭打;捆住
rattle  vt.发出格格声
swim  v.&n.游泳
valetudinarian  n.体弱的人,过分担心生病的人
warp  v./n.翘起,弯曲
injurious  a.有害的
osseous  adj.骨的,多骨的
prank  n.恶作剧,玩笑
commune  n.公社
squall  n.短暂、突然且猛烈的风暴;短暂的骚动
impossible  a.不可能的
video  n.电视，视频；录像a.电视的，视频的；录像的
heartrending  adj.令人心碎的
brute  n.禽兽，畜生
toady  n.谄媚者,马屁精
wave  v.波动n.波浪
untenable  adj.无法防守的,站不住脚的
yesterday  n.昨天
Scotsman  n.苏格兰人
squabble  n.争吵
weapon  n.武器，兵器
ecology  n.生态学
lava  n.熔岩
courageous  a.勇敢的，无畏的
cocktail  n.鸡尾酒
lave  v.洗浴；慢慢冲刷
steady  a.稳的,平稳的;稳定的,持续的;稳重的,坚定的;v.(使)平稳,(使)稳定
early  a.早的
attenuate  v.变薄；变弱
disease  n.疾病
juxtapose  v.并排,并置
headmaster  n.校长
temerity  n.鲁莽,大胆
infinitesimal  adj.极微小的;n.极小的数
communicative  adj.毫无隐讳交谈的,畅谈的,爱说话的
fructify  v.结果实,成功
engineer  n.工程师
exult  v.欢腾,喜悦
disposable  adj.一次性使用的
alike  a.相同
clarity  n.清楚
laud  v.称赞
delightful  adj.令人高兴的
aorta  n主动脉
watt  n.瓦，瓦特
unprepossessing  adj.不吸引人的
verisimilar  adj.好像真实的,可能的
aggravation  n.加重，恶化
sickness  n.疾病
rustler  n.偷牛(马)贼
disaffected  adj.(政治上)不满的,叛离的
prate  v.瞎扯,胡说
hen  n.母鸡
hem  v.包围;n.袖边,边缘
her  pron.她
unload  vi.卸货；退子弹vt.摆脱…之负担；倾销
circus  n.马戏表演,广场
hew  v.砍伐
deprive  vt.剥夺,使丧失
hey  int.嗨
long-standing  adj.耐久的
torpedo  n.鱼雷，水雷
endemic  adj.地方性的
lesson  n.课程
dossier  n.卷宗,档案
unarticulated  adj.不善于表达的,发音不清晰的
dawdle  v.闲荡,虚度
brunt  n.主要冲击力或影响
pungent  adj.味道刺激的；苛刻的
perfunctory  adj.草率的,敷衍的
passenger  n.乘客
forestall  v.先发制人,预先阻止
chiaroscuro  n.明暗对照法
corporal  adj.肉体的,身体的
munition  n.军火，弹药
worship  n.礼拜，礼拜仪式；崇拜v.崇拜，敬仰；做礼拜
lawn  n.草地,草坪
tape-recording  n.录音
jocund  adj.快乐的,高兴的
lazy  a.懒惰的
imprecise  a.不精确的，不严密的
alien  n./a.外侨;外国的;不相容的
smart  a.漂亮的；聪明的；巧妙的v.剧痛，刺疼
sinuous  adj.蜿蜒的,迂回的
linguistic  a.语言的
personage  n.名人；(戏剧)角色
smash  vt./vi.打碎,打破;击溃
electorate  n.(全体)选民
profligate  adj.挥金如土的;n.挥霍者
ledger  n.账簿
preponderance  n.优势
editor  n.编辑，编者
grasping  adj.贪心的,贪婪的
consistent  a.(in)前后一致的；(with)一致，符合
reverse  n./v./a.相反(的);颠倒(的)
chat  v./n.闲谈，聊天
nonviscous  adj.无粘性的
char  v.烧焦;使...燃烧成焦炭
chap  n./v.(皮肤)变粗糙；发痛n.小伙子
small  a.小的
beam  n.梁;光束;飞机导航无线电射束;v.发光,发热;微笑;定向发出(无线电信号)
gallant  adj.勇敢的；(向女人)献殷勤的
orthodontics  n.畸齿矫正学
beak  n.鸟嘴
before  prep.在…以前
fiction  n.虚构，编造；小说
hie  vt.疾走,催促
bead  n.有孔小珠；露珠
perspire  v.流汗
aviation  n.航空,航空学
bruit  v.散布(谣言)
him  pron.他
crockery  n.陶器,瓦器
hip  n.臀部，髋；屋脊
vulpine  adj.狐狸的,狡猾的
hit  v.打击
his  pron.他的
squash  vt.压碎n.鲜果汁
beat  v.敲打；打
bear  v.负担n.熊
grandfather  n.祖父；外祖父
forebode  v.预感,凶兆
bean  n.豆；菜豆，蚕豆
hostess  n.女主人，女主持人
psyche  n.心智,精神
repeatedly  ad.重复地，再三地
croak  n.蛙鸣声
vigilant  adj.机警的,警惕的
straighten  vt.把…弄直vi.挺起来
fledge  v.小鸟长飞羽,变得羽毛丰满
valorous  adj.勇敢的
stimulate  v.刺激，使兴奋；激励，鼓舞
square  n.广场
debilitate  v.使衰弱
